name,calories,protein,carbs,fat,category
Pineapple souffle ,196.14,8.06,15.52,11.72,General
Apple mousse,106.92,4.21,12.77,4.27,General
Rich chocolate mousse,188.26,7.96,10.84,12.19,General
Mango mousse,124.98,3.21,9.14,8.47,General
Orange and pineapple cream,101.18,1.44,11.96,5.43,General
Charlotte rousse,188.29,3.95,34.08,4.78,General
Triffle pudding,116.97,2.93,18.24,3.93,General
Snow flakes pudding,95.21,4.67,8.07,4.97,General
Kulfi,98.43,3.21,11.3,4.7,General
Steamed orange pudding,278.03,2.34,41.53,12.04,General
Meringue and rice pudding,112.93,4.84,14.6,4.05,General
Cheese pudding,285.01,11.29,19.27,18.37,General
Chocolate pudding,211.96,3.55,29.59,9.48,General
Bread and butter pudding ,167.94,5.59,19.63,7.88,General
Queen of pudding,132.92,5.51,16.35,5.38,General
Pineapple upside down pudding,257.73,3.15,35.73,11.91,General
Date and nut pie,322.42,3.93,46.86,13.31,General
Stewed apple with custard,92.87,1.27,18.36,1.82,General
Apple snowballs,101.51,0.86,24.58,0.31,General
Hot orange souffle,179.97,6.87,18.77,8.95,General
Hot chocolate souffle,226.09,6.7,26.21,11.1,General
Hot vanilla souffle,192.93,6.87,21.77,9.07,General
Plain burfi (Burfi),408.32,9.82,30.88,27.96,General
Coconut burfi (Nariyal ki burfi),467.64,8.81,32.15,34.63,General
Bottle gourd burfi (Ghiya/Lauki burfi),275.96,5.86,24.51,17.68,General
Chocolate burfi,339.33,13.0,33.15,17.86,General
Cashewnut burfi (Kaju burfi/Kaju katli),421.74,5.48,37.92,28.46,General
Gram flour burfi (Besan burfi),421.79,11.19,46.59,22.41,General
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,6.71,52.86,21.86,General
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,5.68,50.9,27.03,General
Gram flour ladoo (Besan ladoo),476.91,8.93,62.61,22.76,General
Sesame ladoo (Til ke ladoo),396.96,10.7,43.5,19.64,General
Chenna murki,252.69,10.46,36.01,8.2,General
Milk cake,127.41,3.01,9.13,8.93,General
Ghujia/Lavang latika,768.98,1.86,13.0,78.93,General
Gulab Jamun with khoya,586.06,2.03,26.09,53.23,General
Mal pua,566.68,1.71,17.56,54.64,General
Shahi tukre,189.81,2.76,41.46,2.54,General
Potato pakora/pakoda (Aloo pakoda),677.19,1.9,6.04,71.84,General
Onion pakora/pakoda (Pyaaz ke pakode),674.61,1.9,5.41,71.84,General
Cauliflower pakora/pakoda (Phoolgobhi ke pakode),671.63,1.98,4.52,71.86,General
Mixed vegetable pakora/pakoda,673.81,1.94,5.12,71.86,General
Spinach pakora/pakoda (Palak pakoda),712.62,1.96,4.68,76.38,General
Methi pakora/pakoda (Methi ke pakode),713.25,2.06,4.68,76.39,General
Egg pakora/pakoda (Ande ke pakode),710.51,2.83,4.48,75.86,General
Bread pakora/pakoda,710.99,2.57,8.87,74.2,General
Paneer pakora/pakoda,718.12,3.27,5.52,76.05,General
Potato bonda (Aloo bonda),632.84,1.09,4.53,67.8,General
Potato samosa (Aloo ka samosa),577.39,1.71,9.21,59.19,General
Minced meat samosa (Keema ka samosa),620.99,4.43,6.14,64.26,General
Paneer and pea samosa (Paneer matar ka samosa),623.81,4.02,8.55,63.65,General
Mathri,805.12,1.75,12.32,83.1,General
Khasta kachori,712.73,2.51,12.81,72.27,General
Vegetable cutlet,665.45,1.25,4.68,71.33,General
Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,1.76,7.39,73.89,General
Peanut cutlet (Mungfali ke cutlet),698.77,2.63,5.68,74.0,General
Fish cutlet (Machli ka cutlet),654.64,2.77,3.13,70.11,General
Paneer potato cutlet (Paneer aloo cutlet),672.94,2.47,5.23,71.4,General
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,1.44,4.93,73.6,General
Cheese toast,785.37,1.98,5.49,84.11,General
Vegetable burger,519.93,3.26,13.69,50.63,General
Cheese pizza,249.5,5.79,30.62,12.43,General
Vegetable seekh kebab,690.73,1.57,5.32,73.72,General
Masala vada,826.02,1.69,4.06,89.15,General
Peanut sago vada (Sabudana mungfali vada),749.89,1.01,7.14,79.82,General
Vegeterian scotch egg,681.67,2.16,4.64,72.77,General
Paneer shaslik/tikka,93.85,5.11,7.98,4.49,General
Peanut brittle (Moongfali ki chikki),320.46,6.94,47.46,11.13,General
Spring roll,623.87,1.81,8.56,64.63,General
Dry mango chutney (Sookhe aam ki chutney),298.13,2.43,69.17,0.7,General
Peanut chutney (Mungfali ki chutney),258.37,11.8,9.87,19.06,General
Coconut chutney (Nariyal ki chutney),265.92,3.59,8.29,25.0,General
Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,2.81,21.18,0.51,General
Custard tart,225.6,3.72,28.66,10.73,General
Lemon tart,303.35,6.12,30.68,17.45,General
